title,year,cast,genres
Rivals,1972,"['Joan Hackett', 'Robert Klein']",['Drama']
"Run, Cougar, Run",1972,"['Stuart Whitman', 'Frank Aletter', 'Lonny Chapman']","['Drama', 'Western']"
The Salzburg Connection,1972,"['Barry Newman', 'Anna Karina', 'Klaus Maria Brandauer']",['Thriller']
Savages,1972,"['Susan Blakely', 'Sam Waterston']",['Comedy']
"Say Goodbye, Maggie Cole",1972,"['Susan Hayward', 'Darren McGavin', 'Michael Constantine', 'Michele Nichols', 'Dane Clark', 'Beverly Garland', 'Jeanette Nolan']",['Drama']
The Screaming Woman,1972,"['Olivia de Havilland', 'Ed Nelson', 'Joseph Cotten', 'Walter Pidgeon', 'Lonny Chapman']","['Horror', 'Thriller']"
A Separate Peace,1972,"['Parker Stevenson', 'William Roerick']",['Drama']
Shaft's Big Score,1972,"['Richard Roundtree', 'Moses Gunn']","['Action', 'Crime']"
Silent Running,1972,"['Bruce Dern', 'Ron Rifkin']",['Science Fiction']
Sitting Target,1972,"['Oliver Reed', 'Jill St. John']","['Drama', 'Crime']"
Skyjacked,1972,"['Charlton Heston', 'Yvette Mimieux', 'James Brolin', 'Jeanne Crain', 'Walter Pidgeon', 'Roosevelt Grier', 'Leslie Uggams']",['Disaster']
Slaughter,1972,"['Jim Brown', 'Rip Torn', 'Stella Stevens']",[]
Slaughterhouse-Five,1972,"['Michael Sacks', 'Valerie Perrine']","['Science Fiction', 'Drama', 'Comedy', 'War']"
"Snoopy, Come Home",1972,"['Voices of', 'Chad Webber', 'Robin Kohn', 'Hilary Momberger', 'Johanna Baer']","['Animated', 'Comedy', 'Drama', 'Musical']"
Snowball Express,1972,"['Dean Jones', 'Nancy Olson', 'Johnny Whitaker', 'Keenan Wynn', 'Michael McGreevey', 'Harry Morgan', 'George Lindsey']","['Family', 'Comedy']"
Something Evil,1972,"['Sandy Dennis', 'Darren McGavin', 'Ralph Bellamy', 'Jeff Corey', 'Johnny Whitaker', 'John Rubinstein', 'Margaret Avery']",['Horror']
Sounder,1972,"['Cicely Tyson', 'Paul Winfield', 'Kevin Hooks']",['Drama']
Stand Up and Be Counted,1972,"['Jacqueline Bisset', 'Stella Stevens', 'Steve Lawrence']",['Comedy']
Stigma,1972,['Philip Michael Thomas'],['Drama']
The Strange Vengeance of Rosalie,1972,"['Bonnie Bedelia', 'Ken Howard']",['Thriller']
Superbeast,1972,"['Antoinette Bower', 'Harry Lauter']",['Horror']
Super Fly,1972,"[""Ron O'Neal"", 'Julius Harris']","['Noir', 'Crime', 'Drama']"
They Only Kill Their Masters,1972,"['James Garner', '.', 'Katharine Ross']",['Mystery']
The Thing with Two Heads,1972,"['Ray Milland', 'Roosevelt Grier']","['Science Fiction', 'Comedy']"
Thumb Tripping,1972,"['Bruce Dern', 'Meg Foster']",['Drama']
To Find a Man,1972,"['Pamela Sue Martin', ""Darren O'Connor"", 'Tom Bosley']","['Drama', 'Comedy']"
To Kill a Clown,1972,"['Alan Alda', 'Blythe Danner']","['Drama', 'Thriller']"
Tomorrow,1972,"['Robert Duvall', 'Peter Masterson']",['Drama']
Travels with My Aunt,1972,"['Maggie Smith', 'Louis Gossett Jr.']",['Comedy']
Treasure Island,1972,"['Richard Dawson', 'Davy Jones', 'Dal McKennon']","['Animated', 'Adventure']"
Treasure Island,1972,"['Orson Welles', 'Lionel Stander', 'Walter Slezak']","['Live Action', 'Adventure']"
Trick Baby,1972,"['Kiel Martin', 'Mel Stewart', 'Vernee Watson-Johnson']",['Crime']
Trouble Man,1972,"['Robert Hooks', 'Paula Kelly']","['Crime', 'Thriller']"
Ulzana's Raid,1972,"['Burt Lancaster', 'Bruce Davison', 'Richard Jaeckel']",['Western']
Unholy Rollers,1972,"['Claudia Jennings', 'Louis Quinn']","['Sports', 'Action', 'Comedy']"
Up the Sandbox,1972,"['Barbra Streisand', 'David Selby']","['Comedy', 'Drama']"
The Valachi Papers,1972,"['Charles Bronson', 'Lino Ventura', 'Jill Ireland', 'Walter Chiari']","['Noir', 'Crime']"
The Victim,1972,"['Elizabeth Montgomery', 'George Maharis', 'Jess Walton', 'Sue Ane Langdon', 'Eileen Heckart']","['Crime', 'Drama', 'Mystery']"
The Visitors,1972,"['Patrick McVey', 'Patricia Joyce', 'James Woods']",['Drama']
The War Between Men and Women,1972,"['Jack Lemmon', 'Barbara Harris']","['Comedy', 'Drama']"
"What's Up, Doc?",1972,"['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn']","['Comedy', 'Romance']"
When the Legends Die,1972,"['Richard Widmark', 'Frederic Forrest', 'John War Eagle']",['Drama']
Where Does It Hurt?,1972,"['Peter Sellers', 'Jo Ann Pflug', 'Rick Lenz']",['Comedy']
Wild in the Sky,1972,"['Georg Stanford Brown', 'Brandon deWilde', 'Keenan Wynn']","['Action', 'Comedy']"
Winter Soldier,1972,['John Kerry'],['Documentary']
The Woman Hunt,1972,"['John Ashley', 'Pat Woodell', 'Sid Haig']",['Action']
The Woman Hunter,1972,"['Barbara Eden', 'Robert Vaughn', 'Stuart Whitman']",['Mystery']
The Wrath of God,1972,"['Robert Mitchum', 'Frank Langella', 'Rita Hayworth']",['Western']
You'll Like My Mother,1972,"['Patty Duke', 'Rosemary Murphy']","['Horror', 'Thriller']"
40 Carats,1973,"['Edward Albert', 'Liv Ullmann', 'Billy Green Bush', 'Deborah Raffin', 'Binnie Barnes', 'Gene Kelly', 'Rosemary Murphy', 'Don Porter']","['Romance', 'Comedy']"
Ace Eli and Rodger of the Skies,1973,"['Cliff Robertson', 'Pamela Franklin', 'Bernadette Peters']","['Drama', 'Adventure', 'Comedy']"
The Affair,1973,"['Natalie Wood', 'Robert Wagner', 'Bruce Davison', 'Frances Reid', 'Jamie Smith-Jackson']","['Drama', 'Romance']"
The All-American Boy,1973,"['Jon Voight', 'Jeanne Cooper']",['Drama']
American Graffiti,1973,"['Richard Dreyfuss', 'Ron Howard', 'Candy Clark', 'Harrison Ford', 'Cindy Williams', 'Paul Le Mat', 'Mackenzie Phillips', 'Charles Martin Smith']","['Comedy', 'Drama']"
Arnold,1973,"['Stella Stevens', 'Roddy McDowall', 'Elsa Lanchester', 'Shani Wallis']","['Horror', 'Comedy']"
Ash Wednesday,1973,"['Elizabeth Taylor', 'Henry Fonda', 'Helmut Berger']",['Drama']
The Baby,1973,"['Anjanette Comer', 'Ruth Roman', 'Marianna Hill']","['Horror', 'Thriller']"
Badge 373,1973,"['Robert Duvall', 'Verna Bloom', 'Henry Darrow']","['Crime', 'Noir', 'Thriller']"
Badlands,1973,"['Martin Sheen', 'Sissy Spacek', 'Warren Oates']","['Crime', 'Drama', 'Noir', 'Historical']"
Bang the Drum Slowly,1973,"['Robert De Niro', 'Michael Moriarty', 'Vincent Gardenia', 'Phil Foster']","['Sports', 'Drama']"
Battle for the Planet of the Apes,1973,"['Roddy McDowall', 'John Huston', 'Claude Akins']",['Science Fiction']
Beyond Atlantis,1973,"['Patrick Wayne', 'John Ashley', 'Leigh Christian']","['Science Fiction', 'Horror']"
Black Caesar,1973,"['Fred Williamson', 'Gloria Hendry', ""D'Urville Martin""]","['Crime', 'Drama']"
Black Mama White Mama,1973,"['Pam Grier', 'Margaret Markov', 'Lynn Borden']",['Thriller']
Black Snake,1973,"['David Prowse', 'Anouska Hempel', 'Percy Herbert']",['Adventure']
Blackenstein,1973,"['John Hart', 'Liz Renay', 'Andrea King']",['Horror']
Blume in Love,1973,"['George Segal', 'Susan Anspach', 'Kris Kristofferson', 'Shelley Winters']","['Romance', 'Comedy', 'Drama']"
Book of Numbers,1973,"['Raymond St. Jacques', 'Philip Michael Thomas', 'Freda Payne', 'Hope Clarke']",['Crime']
The Boy Who Cried Werewolf,1973,"['Kerwin Mathews', 'Elaine Devry', 'Robert J. Wilke']",['Horror']
Breezy,1973,"['William Holden', 'Kay Lenz', 'Marj Dusay']","['Romance', 'Drama']"
Cahill U.S. Marshal,1973,"['John Wayne', 'Gary Grimes', 'George Kennedy', 'Neville Brand']",['Western']
The Candy Snatchers,1973,"['Tiffany Bolling', 'Ben Piazza', 'Dolores Dorn']",['Crime']
The Cat Creature,1973,"['Meredith Baxter', 'David Hedison', 'Gale Sondergaard']",['Horror']
Charley and the Angel,1973,"['Fred MacMurray', 'Harry Morgan', 'Cloris Leachman', 'Kurt Russell', 'George Lindsey', 'Edward Andrews', 'Richard Bakalyan', 'Mills Watson']","['Family', 'Comedy', 'Western']"
Charley One-Eye,1973,"['Richard Roundtree', 'Roy Thinnes', 'Nigel Davenport']",['Western']
Charley Varrick,1973,"['Walter Matthau', 'Joe Don Baker', 'John Vernon', 'Jacqueline Scott', 'Andrew Robinson', 'Felicia Farr', 'Norman Fell', 'Sheree North']","['Crime', 'Drama', 'Noir']"
Charlotte's Web,1973,"['Voices of', 'Debbie Reynolds', 'Paul Lynde', 'Henry Gibson', 'Pamelyn Ferdin']","['Animated', 'Drama', 'Musical', 'Family']"
Cinderella Liberty,1973,"['James Caan', 'Marsha Mason', 'Eli Wallach']",['Drama']
Class of '44,1973,"['Gary Grimes', 'Deborah Winters', 'Jerry Houser']","['Drama', 'Comedy']"
Cleopatra Jones,1973,"['Tamara Dobson', 'Antonio Fargas', 'Shelley Winters']","['Crime', 'Drama']"
Coffy,1973,"['Pam Grier', 'Booker Bradshaw', 'William Elliott']","['Crime', 'Drama']"
Cops and Robbers,1973,"['Joseph Bologna', 'Cliff Gorman', 'Delphi Lawrence']","['Crime', 'Comedy']"
The Crazies,1973,"['Lynn Lowry', 'Richard Liberty', 'Will McMillan']","['Horror', 'Science Fiction']"
The Daring Dobermans,1973,"['Charles Knox Robinson', 'Tim Considine', 'David Moses', 'Joan Caulfield', 'John War Eagle']",['Thriller']
The Day of the Dolphin,1973,"['George C. Scott', 'Trish Van Devere', 'Paul Sorvino', 'Fritz Weaver']","['Drama', 'Science Fiction', 'Thriller']"
The Deadly Trackers,1973,"['Richard Harris', 'Rod Taylor', 'Neville Brand']",['Western']
A Delicate Balance,1973,"['Katharine Hepburn', 'Paul Scofield', 'Lee Remick']",['Drama']
Detroit 9000,1973,"['Alex Rocco', 'Hari Rhodes', 'Vonetta McGee']","['Crime', 'Drama', 'Action']"
The Devil in Miss Jones,1973,"['Georgina Spelvin', 'Harry Reems', 'Gerard Damiano']",['Erotic']
Dillinger,1973,"['Warren Oates', 'Harry Dean Stanton', 'Geoffrey Lewis', 'Ben Johnson', 'Richard Dreyfuss', 'Steve Kanaly', 'Cloris Leachman']","['Biography', 'Crime', 'Drama']"
Doctor Death: Seeker of Souls,1973,"['John Considine', 'Barry Coe', 'Cheryl Miller', 'Jo Morrow', 'Stewart Moss', 'Leon Askin', 'Moe Howard']",['Horror']
The Doll Squad,1973,"['Francine York', 'Anthony Eisley', 'Anthony Eisley']",['Action']
The Don Is Dead,1973,"['Anthony Quinn', 'Angel Tompkins', 'Robert Forster', 'Al Lettieri']","['Crime', 'Drama']"
Double Indemnity,1973,"['Richard Crenna', 'Lee J. Cobb', 'Robert Webber', 'Samantha Eggar']","['Crime', 'Drama']"
Electra Glide in Blue,1973,"['Robert Blake', 'Mitchell Ryan', 'Jeannine Riley']",['Action']
Emperor of the North,1973,"['Lee Marvin', 'Ernest Borgnine', 'Keith Carradine']","['Drama', 'Action', 'Adventure']"
Enter the Dragon,1973,"['Bruce Lee', 'John Saxon', 'Jim Kelly', 'Angela Mao Ying', 'Shih Kien', 'Bob Wall', 'Ahna Capri', 'Betty Chung', 'Geoffrey Weeks', 'Yang Sze']",['Martial Arts']
Executive Action,1973,"['Burt Lancaster', 'Robert Ryan', 'Will Geer']","['Drama', 'Thriller']"
The Exorcist,1973,"['Ellen Burstyn', 'Linda Blair', 'Jason Miller', 'Max von Sydow', 'Kitty Winn', 'Lee J. Cobb']","['Horror', 'Supernatural']"
Five on the Black Hand Side,1973,"['Clarice Taylor', ""D'Urville Martin"", 'Glynn Turman']",['Comedy']
Fly Me,1973,"['Pat Anderson', 'Lenore Kasdorf', 'Richard Young']","['Action', 'Erotic']"
Frank Film,1973,['Frank Mouris'],"['Animated', 'Short']"
The Friends of Eddie Coyle,1973,"['Robert Mitchum', 'Peter Boyle', 'Richard Jordan', 'Steven Keats', 'Alex Rocco']","['Crime', 'Drama', 'Noir']"
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,1973,"['Ingrid Bergman', 'Johnny Doran', 'Madeline Kahn']",['Family']
Ganja & Hess,1973,"['Bill Gunn', 'Duane Jones', 'Marlene Clark']",['Horror']
Genesis II,1973,"['Alex Cord', 'Mariette Hartley', 'Ted Cassidy', 'Percy Rodrigues']",['Science Fiction']
Godspell,1973,"['Victor Garber', 'David Haskell', 'Gilmer McCormick']",['Musical']
The Golden Voyage of Sinbad,1973,"['John Phillip Law', 'Tom Baker']","['Fantasy', 'Adventure']"
Gordon's War,1973,"['Paul Winfield', 'Carl Lee', 'David Downing']","['Adventure', 'Action', 'War']"
Group Marriage,1973,"['Victoria Vetri', 'Claudia Jennings']","['Comedy', 'Erotic']"
Guns of a Stranger,1973,"['Marty Robbins', 'Chill Wills', 'Dovie Beams']",['Western']
"Happy Mother's Day, Love George",1973,"['Patricia Neal', 'Cloris Leachman', 'Bobby Darin']","['Thriller', 'Mystery']"
The Harrad Experiment,1973,"['James Whitmore', 'Tippi Hedren', 'Don Johnson']",['Drama']
Harry in Your Pocket,1973,"['James Coburn', 'Michael Sarrazin', 'Trish Van Devere']","['Drama', 'Comedy']"
Heavy Traffic,1973,"['voices of', 'Joseph Kaufmann', 'Jamie Farr']","['Animated', 'Live Action', 'Comedy', 'Drama']"
Hell Up in Harlem,1973,"['Fred Williamson', 'Julius Harris', 'Gloria Hendry']","['Crime', 'Drama', 'Noir']"
Hex,1973,"['Keith Carradine', 'Tina Herazo', 'Hilary Thompson']","['Western', 'Horror', 'Supernatural']"
High Plains Drifter,1973,"['Clint Eastwood', 'Geoffrey Lewis', 'Verna Bloom', 'Marianna Hill', 'Mitchell Ryan']",['Western']
Hijack,1973,"['David Janssen', 'Keenan Wynn', 'Lee Purcell']","['Action', 'Drama', 'Thriller']"
Hit!,1973,"['Billy Dee Williams', 'Richard Pryor', 'Gwen Welles']",['Action']
I Escaped from Devil's Island,1973,"['Jim Brown', 'Christopher George', 'James Luisi']",['Action']
The Iceman Cometh,1973,"['Lee Marvin', 'Robert Ryan']",['Drama']
Idaho Transfer,1973,"['Keith Carradine', 'Kelley Bohanon']",['Science Fiction']
Interval,1973,"['Merle Oberon', 'Robert Wolders', 'Claudio Brook']","['Romance', 'Drama']"
Invasion of the Bee Girls,1973,"['Anitra Ford', 'William Smith', 'Victoria Vetri']",['Science Fiction']
Jesus Christ Superstar,1973,"['Ted Neeley', 'Carl Anderson', 'Yvonne Elliman']","['Musical', 'Drama']"
Jeremy,1973,"['Robby Benson', ""Glynnis O'Connor"", 'Leonardo Cimino']","['Romance', 'Drama']"
Jonathan Livingston Seagull,1973,"['James Franciscus', 'Juliet Mills', 'Dorothy McGuire']",['Drama']
Jory,1973,"['Robby Benson', 'Claudio Brook', 'John Marley']",['Western']
Kid Blue,1973,"['Dennis Hopper', 'Warren Oates', 'Peter Boyle']","['Western', 'Comedy']"
The Killing Kind,1973,"['Ann Sothern', 'John Savage', 'Ruth Roman']",['Horror']
Lady Ice,1973,"['Donald Sutherland', ""Jennifer O'Neill"", 'Robert Duvall']",['Crime']
The Last American Hero,1973,"['Jeff Bridges', 'Valerie Perrine', 'Ned Beatty']","['Biography', 'Sports', 'Drama']"
The Last Detail,1973,"['Jack Nicholson', 'Otis Young', 'Randy Quaid', 'Carol Kane']","['Comedy', 'Drama']"
The Last of Sheila,1973,"['James Coburn', 'Raquel Welch', 'Dyan Cannon', 'James Mason', 'Joan Hackett', 'Richard Benjamin', 'Ian McShane']",['Mystery']
The Laughing Policeman,1973,"['Walter Matthau', 'Bruce Dern', 'Louis Gossett Jr.', 'Joanna Cassidy', 'Cathy Lee Crosby']","['Crime', 'Drama', 'Noir', 'Thriller']"
The Legend of Hell House,1973,"['Pamela Franklin', 'Roddy McDowall', 'Clive Revill', 'Gayle Hunnicutt']","['Horror', 'Supernatural']"
Little Cigars,1973,"['Angel Tompkins', 'Jerry Maren']",['Comedy']
Little Laura and Big John,1973,"['Fabian Forte', 'Karen Black', 'Paul Gleason']",['Crime']
Live and Let Die,1973,"['Roger Moore', 'Yaphet Kotto', 'Jane Seymour']","['Action', 'Spy']"
Lolly-Madonna XXX,1973,"['Rod Steiger', 'Robert Ryan', 'Jeff Bridges']",['Drama']
The Long Goodbye,1973,"['Elliott Gould', 'Sterling Hayden', 'Henry Gibson', 'Nina van Pallandt', 'Jim Bouton', 'Mark Rydell']","['Mystery', 'Crime', 'Noir', 'Thriller']"
Lost Horizon,1973,"['Peter Finch', 'Liv Ullmann', 'Sally Kellerman', 'George Kennedy', 'Michael York', 'Olivia Hussey', 'Bobby Van', 'James Shigeta', 'Charles Boyer', 'John Gielgud']","['Adventure', 'Fantasy', 'Musical']"
Love and Pain and the Whole Damn Thing,1973,"['Maggie Smith', 'Timothy Bottoms']","['Drama', 'Comedy']"
Luther,1973,"['Stacy Keach', 'Patrick Magee']","['Drama', 'Biography']"
The Mack,1973,"['Max Julien', 'Richard Pryor', 'Roger E. Mosley']","['Crime', 'Drama']"
The Mackintosh Man,1973,"['Paul Newman', 'James Mason']","['Thriller', 'Noir', 'Spy', 'War']"
Magnum Force,1973,"['Clint Eastwood', 'Hal Holbrook', 'Tim Matheson', 'David Soul', 'Robert Urich']","['Crime', 'Drama', 'Action', 'Noir', 'Thriller']"
The Man Who Loved Cat Dancing,1973,"['Burt Reynolds', 'Sarah Miles', 'Lee J. Cobb']",['Western']
Marco,1973,"['Desi Arnaz Jr.', 'Jack Weston', 'Zero Mostel']","['Historical', 'Musical', 'Adventure']"
Maurie,1973,"['Bernie Casey', 'Bo Svenson', 'Maidie Norman']","['Sports', 'Drama', 'Biography']"
Mean Streets,1973,"['Robert De Niro', 'Harvey Keitel', 'Amy Robinson']","['Drama', 'Crime']"
Messiah of Evil,1973,"['Elisha Cook Jr.', 'Anitra Ford', 'Michael Greer']","['Horror', 'Supernatural']"
The Naked Ape,1973,"['Johnny Crawford', 'Victoria Principal', 'Diana Darrin']",['Comedy']
A Name for Evil,1973,"['Samantha Eggar', 'Robert Culp', 'Mike Lane']",['Horror']
The Neptune Factor,1973,"['Ben Gazzara', 'Yvette Mimieux', 'Walter Pidgeon']",['Science Fiction']
The No Mercy Man,1973,"['Sid Haig', 'Ron Thompson', 'Richard X. Slattery']","['Action', 'Western']"
Oklahoma Crude,1973,"['George C. Scott', 'Faye Dunaway', 'John Mills', 'Jack Palance']","['Comedy', 'Drama', 'Western']"
One Little Indian,1973,"['James Garner', 'Vera Miles', 'Pat Hingle', ""Clay O'Brien"", 'Rudy Diaz', 'Andrew Prine', 'Robert Pine', 'Jay Silverheels', 'Richard Hale', 'Morgan Woodward', 'Jodie Foster']","['Western', 'Comedy']"
The Outfit,1973,"['Robert Duvall', 'Karen Black', 'Joe Don Baker', 'Sheree North', 'Robert Ryan']","['Noir', 'Crime']"
The Paper Chase,1973,"['Timothy Bottoms', 'Lindsay Wagner', 'John Houseman']","['Drama', 'Comedy']"
Paper Moon,1973,"[""Ryan O'Neal"", ""Tatum O'Neal"", 'Madeline Kahn']","['Comedy', 'Drama']"
Papillon,1973,"['Steve McQueen', 'Dustin Hoffman']","['Historical', 'Drama']"
Pat Garrett and Billy the Kid,1973,"['James Coburn', 'Kris Kristofferson', 'Bob Dylan', 'John Beck', 'Slim Pickens', 'Katy Jurado', 'Jack Elam', 'Chill Wills']","['Western', 'Biography']"
Please Don't Eat My Mother,1973,"['Buck Kartalian', 'Rene Bond']",['Comedy']
Robin Hood,1973,"['Peter Ustinov', 'Terry-Thomas', 'Brian Bedford']","['Animated', 'Adventure', 'Comedy', 'Musical']"
The Roommates,1973,"['Marki Bey', 'Pat Woodell', 'Roberta Collins']",['Thriller']
Sssssss,1973,"['Strother Martin', 'Dirk Benedict', 'Heather Menzies']",['Horror']
Santee,1973,"['Glenn Ford', 'Michael Burns', 'Dana Wynter']",['Western']
Savage!,1973,"['James Iglehart', 'Lada Edmund, Jr.', 'Carol Speed']",['Action']
Savage,1973,"['Martin Landau', 'Barbara Bain', 'Will Geer', 'Dabney Coleman', 'Michele Carey', 'Barry Sullivan', 'Louise Latham', 'Susan Howard', 'Pat Harrington Jr.']","['Thriller', 'Drama']"
Save the Tiger,1973,"['Jack Lemmon', 'Jack Gilford', 'Laurie Heineman']",['Drama']
Scalawag,1973,"['Kirk Douglas', 'Mark Lester', 'Neville Brand']",['Adventure']
Scarecrow,1973,"['Gene Hackman', 'Al Pacino', 'Eileen Brennan']",['Drama']
Scorpio,1973,"['Burt Lancaster', 'Alain Delon', 'Paul Scofield']","['Thriller', 'Spy']"
Scream Blacula Scream,1973,"['William Marshall', 'Pam Grier', 'Michael Conrad']",['Horror']
"Scream, Pretty Peggy",1973,"['Bette Davis', 'Ted Bessell', 'Sian Barbara Allen']",['Horror']
Serpico,1973,"['Al Pacino', 'John Randolph', 'Tony Roberts']","['Biography', 'Crime', 'Drama', 'Noir']"
The Seven-Ups,1973,"['Roy Scheider', 'Tony Lo Bianco', 'Larry Haines']","['Crime', 'Drama', 'Action', 'Mystery', 'Noir']"
Shaft in Africa,1973,"['Richard Roundtree', 'Frank Finlay', 'Neda Arnerić']",['Action']
Shamus,1973,"['Burt Reynolds', 'Dyan Cannon', 'John P. Ryan']","['Crime', 'Drama', 'Comedy', 'Thriller']"
Showdown,1973,"['Rock Hudson', 'Dean Martin', 'Susan Clark']",['Western']
Sisters,1973,"['Margot Kidder', 'Jennifer Salt']",['Horror']
The Slams,1973,"['Jim Brown', 'Judy Pace', 'Frank de Kova']",['Action']
Slaughter's Big Rip-Off,1973,"['Jim Brown', 'Ed McMahon', 'Brock Peters']",[]
Sleeper,1973,"['Woody Allen', 'Diane Keaton', 'Bartlett Robinson']","['Science Fiction', 'Comedy', 'Satire']"
Slither,1973,"['James Caan', 'Sally Kellerman', 'Peter Boyle']","['Crime', 'Comedy', 'War']"
Snatched,1973,"['Howard Duff', 'Leslie Nielsen', 'Sheree North', 'Barbara Parkins', 'Robert Reed', 'John Saxon', 'Tisha Sterling', 'Anthony Zerbe']","['Crime', 'Drama', 'Thriller']"
Some Call It Loving,1973,"['Zalman King', 'Richard Pryor', 'Tisa Farrow']","['Drama', 'Erotic', 'Mystery', 'Romance']"
The Soul of Nigger Charley,1973,"['Fred Williamson', ""D'Urville Martin"", 'Denise Nicholas']",['Western']
Soylent Green,1973,"['Charlton Heston', 'Leigh Taylor-Young', 'Chuck Connors', 'Edward G. Robinson']","['Science Fiction', 'Thriller']"
The Spook Who Sat By the Door,1973,"['Lawrence Cook', 'Paula Kelly', 'J. A. Preston']","['Drama', 'Action', 'Crime']"
Stacey,1973,"['Anne Randall', 'Marjorie Bennett', 'Anitra Ford']",['Action']
Steelyard Blues,1973,"['Jane Fonda', 'Donald Sutherland', 'Peter Boyle']","['Comedy', 'Crime']"
The Sting,1973,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Eileen Brennan']","['Crime', 'Comedy']"
The Stone Killer,1973,"['Charles Bronson', 'Martin Balsam', 'Paul Koslo']","['Crime', 'Action', 'Noir', 'Thriller']"
The Student Teachers,1973,"['Susan Damante', 'Dick Miller']",['Comedy']
"Summer Wishes, Winter Dreams",1973,"['Joanne Woodward', 'Martin Balsam', 'Sylvia Sidney']","['Drama', 'War']"
Superchick,1973,"['Joyce Jillson', 'Louis Quinn', 'John Carradine']","['Action', 'Comedy']"
Superdad,1973,"['Bob Crane', 'Barbara Rush', 'Kurt Russell']","['Family', 'Comedy']"
Super Fly T.N.T.,1973,"['Roscoe Lee Browne', 'Sheila Frazier', 'Robert Guillaume']","['Action', 'Crime', 'Drama']"
"Sweet Jesus, Preacherman",1973,"['Roger E. Mosley', 'William Smith', 'Michael Pataki']",['Action']
Sweet Kill,1973,"['Tab Hunter', 'Isabel Jewell', 'John Aprea']",['Thriller']
Terminal Island,1973,"['Phyllis Davis', 'Marta Kristen', 'Barbara Leigh']","['Action', 'Drama', 'Thriller']"
Terror in the Wax Museum,1973,"['Ray Milland', 'Elsa Lanchester', 'Maurice Evans']","['Mystery', 'Horror']"
That Man Bolt,1973,"['Fred Williamson', 'Miko Mayama', 'Teresa Graves']",['Action']
The Thief Who Came to Dinner,1973,"[""Ryan O'Neal"", 'Jacqueline Bisset', 'Warren Oates', 'Ned Beatty', 'Jill Clayburgh']","['Crime', 'Comedy']"
The Three Musketeers,1973,"['Oliver Reed', 'Michael York', 'Richard Chamberlain', 'Raquel Welch']",['Adventure']
Tom Sawyer,1973,"['Jodie Foster', 'Warren Oates', 'Celeste Holm']",['Musical']
Trader Horn,1973,"['Rod Taylor', 'Anne Heywood', 'Jean Sorel']",['Adventure']
The Train Robbers,1973,"['John Wayne', 'Ann-Margret', 'Rod Taylor', 'Bobby Vinton']",['Western']
Treasure Island,1973,['Richard Dawson'],"['Animated', 'Adventure']"
Two People,1973,"['Peter Fonda', 'Lindsay Wagner', 'Estelle Parsons']",['Drama']
Walking Tall,1973,"['Joe Don Baker', 'Noah Beery Jr.', 'Lurene Tuttle']","['Crime', 'Action', 'Noir', 'Thriller', 'Biography']"
A Warm December,1973,"['Sidney Poitier', 'Ester Anderson', 'George Baker']","['Drama', 'Romance']"
The Way We Were,1973,"['Barbra Streisand', 'Robert Redford', 'Bradford Dillman', 'Susan Blakely', ""Patrick O'Neal"", 'Lois Chiles']","['Romance', 'Drama']"
The Werewolf of Washington,1973,"['Dean Stockwell', 'Biff McGuire', 'Michael Dunn', 'Clifton James', 'Thayer David']","['Horror', 'Comedy']"
Westworld,1973,"['Yul Brynner', 'Richard Benjamin', 'James Brolin']","['Science Fiction', 'Western']"
White Lightning,1973,"['Burt Reynolds', 'Ned Beatty', 'Bo Hopkins']",['Action']
"Wicked, Wicked",1973,"['David Bailey', 'Tiffany Bolling', 'Randolph Roberts']","['Horror', 'Thriller']"
The World's Greatest Athlete,1973,"['John Amos', 'Tim Conway', 'Jan-Michael Vincent']","['Sports', 'Comedy']"
The Young Nurses,1973,"['Jeane Manson', 'Allan Arbus', 'Sally Kirkland']",['Thriller']
Your Three Minutes Are Up,1973,"['Beau Bridges', 'Ron Leibman', 'Janet Margolin']",['Comedy']
Jimi Hendrix,1973,[],"['Musical', 'Documentary']"
Manson,1973,['Vincent Bugliosi'],['Documentary']
Visions of Eight,1973,['1972 Summer Olympics'],['Documentary']
11 Harrowhouse,1974,"['Charles Grodin', 'Candice Bergen', 'James Mason', 'Trevor Howard']","['Drama', 'Comedy', 'Thriller', 'Action']"
99 and 44/100% Dead,1974,"['Richard Harris', ""Edmond O'Brien"", 'Bradford Dillman', 'Chuck Connors']","['Crime', 'Action', 'Comedy']"
Abby,1974,"['Carol Speed', 'Juanita Moore', 'Terry Carter']",['Horror']
Act of Vengeance,1974,"['Jo Ann Harris', 'Peter Brown', 'Lada St. Edmund']",['Crime']
Airport 1975,1974,"['Charlton Heston', 'Karen Black', 'Gloria Swanson', 'Linda Blair', 'George Kennedy', 'Susan Clark', 'Efrem Zimbalist Jr.', 'Sid Caesar', 'Myrna Loy']",['Disaster']
Alice Doesn't Live Here Anymore,1974,"['Ellen Burstyn', 'Kris Kristofferson', 'Diane Ladd', 'Harvey Keitel', 'Valerie Curtin', 'Vic Tayback', 'Alfred Lutter', 'Jodie Foster']","['Drama', 'Comedy']"
Amazing Grace,1974,"['Moms Mabley', 'Slappy White', 'Rosalind Cash']",['Comedy']
The Arena,1974,"['Pam Grier', 'Margaret Markov', 'Paul Muller (actor)']",['Action']
