title,year,cast,genres
House of Dark Shadows,1970,"['Jonathan Frid', 'Grayson Hall', 'Kathryn Leigh Scott']",['Horror']
How Do I Love Thee?,1970,"['Jackie Gleason', ""Maureen O'Hara"", 'Shelley Winters']","['Comedy', 'Drama']"
Husbands,1970,"['Peter Falk', 'Ben Gazzara', 'Jenny Runacre']","['Drama', 'Comedy']"
I Love My Wife,1970,"['Elliott Gould', 'Brenda Vaccaro', 'Dabney Coleman', 'Angel Tompkins']",['Comedy']
I Never Sang for My Father,1970,"['Melvyn Douglas', 'Gene Hackman', 'Estelle Parsons']",['Drama']
I Walk the Line,1970,"['Gregory Peck', 'Tuesday Weld', 'Estelle Parsons']","['Drama', 'Noir']"
The Invincible Six,1970,"['Stuart Whitman', 'Elke Sommer', 'Curd Jürgens']",['Adventure']
Jenny,1970,"['Marlo Thomas', 'Alan Alda', 'Marian Hailey']",['Drama']
Joe,1970,"['Peter Boyle', 'Susan Sarandon', 'Dennis Patrick']",['Drama']
Kelly's Heroes,1970,"['Clint Eastwood', 'Telly Savalas', 'Don Rickles', ""Carroll O'Connor"", 'Donald Sutherland']","['War', 'Action', 'Comedy', 'Drama']"
King: A Filmed Record... Montgomery to Memphis,1970,"['Paul Newman', 'James Earl Jones']",['Documentary']
The Kremlin Letter,1970,"['Richard Boone', 'Max von Sydow', 'Bibi Andersson']","['Thriller', 'Noir']"
The Lady in the Car with Glasses and a Gun,1970,"['Samantha Eggar', 'Oliver Reed', 'John McEnery']",['Thriller']
The Landlord,1970,"['Beau Bridges', 'Louis Gossett Jr.', 'Lee Grant', 'Diana Sands', 'Pearl Bailey']","['Comedy', 'Drama']"
Land Raiders,1970,"['Telly Savalas', 'George Maharis', 'Arlene Dahl', 'Janet Landgard']",['Western']
The Last Escape,1970,"['Stuart Whitman', 'John Collin', 'Martin Jarvis']",['War']
Last of the Mobile Hot Shots,1970,"['James Coburn', 'Lynn Redgrave', 'Robert Hooks']",['Drama']
The Last Warrior,1970,"['Anthony Quinn', 'Claude Akins', 'Shelley Winters', 'Tony Bill']",['Western']
The Lawyer,1970,"['Barry Newman', 'Diana Muldaur', 'Harold Gould']",['Drama']
The Liberation of L.B. Jones,1970,"['Roscoe Lee Browne', 'Lee J. Cobb', 'Lola Falana', 'Yaphet Kotto']","['Drama', 'Noir']"
Little Big Man,1970,"['Dustin Hoffman', 'Faye Dunaway', 'Martin Balsam', 'Chief Dan George']",['Western']
Little Fauss and Big Halsy,1970,"['Robert Redford', 'Michael J. Pollard', 'Lauren Hutton']","['Drama', 'Comedy']"
Love Story,1970,"[""Ryan O'Neal"", 'Ali MacGraw', 'Ray Milland', 'John Marley']","['Drama', 'Romance']"
Lovers and Other Strangers,1970,"['Bea Arthur', 'Cloris Leachman', 'Vincent Gardenia', 'Richard Castellano', 'Bonnie Bedelia', 'Gig Young', 'Diane Keaton']","['Comedy', 'Romance']"
Loving,1970,"['George Segal', 'Eva Marie Saint', 'Sterling Hayden']","['Drama', 'Comedy']"
The Man from O.R.G.Y.,1970,"['Robert Walker', 'Louisa Moritz', 'Lynne Carter']",['Comedy']
M*A*S*H,1970,"['Donald Sutherland', 'Elliott Gould', 'Sally Kellerman', 'Tom Skerritt', 'Jo Ann Pflug', 'John Schuck', 'Robert Duvall', 'René Auberjonois', 'Roger Bowen', 'Fred Williamson']","['Comedy', 'War']"
Macho Callahan,1970,"['David Janssen', 'Jean Seberg', 'Lee J. Cobb']",['Western']
Maidstone,1970,"['Norman Mailer', 'Rip Torn']","['Drama', 'Independent']"
A Man Called Horse,1970,"['Richard Harris', 'Judith Anderson', 'Jean Gascon']","['Western', 'War']"
The McMasters,1970,"['Burl Ives', 'Brock Peters', 'Nancy Kwan']",['Western']
Menace on the Mountain,1970,"['Pat Crowley', 'Albert Salmi', 'Richard Anderson', 'Charles Aidman', 'Jodie Foster', 'Dub Taylor']",['Drama']
The Molly Maguires,1970,"['Sean Connery', 'Richard Harris', 'Samantha Eggar']","['Drama', 'Historical']"
Monte Walsh,1970,"['Lee Marvin', 'Jack Palance', 'Jeanne Moreau']",['Western']
The Moonshine War,1970,"['Alan Alda', 'Richard Widmark', 'Patrick McGoohan']","['Drama', 'Comedy', 'Crime']"
Move,1970,"['Elliott Gould', 'Paula Prentiss', 'Joe Silver']",['Comedy']
"My Lover, My Son",1970,"['Romy Schneider', 'Donald Houston', 'Dennis Waterman']",['Drama']
Myra Breckinridge,1970,"['Raquel Welch', 'Mae West', 'Rex Reed', 'John Huston', 'Farrah Fawcett']","['Erotic', 'Comedy']"
Nam's Angels,1970,"['Paul Koslo', 'Bernie Hamilton', 'Adam Roarke']",['War']
No Blade of Grass,1970,"['Nigel Davenport', 'Jean Wallace', 'Lynne Frederick']",['Science Fiction']
Norwood,1970,"['Glen Campbell', 'Kim Darby', 'Joe Namath']",['Comedy']
On a Clear Day You Can See Forever,1970,"['Barbra Streisand', 'Yves Montand', 'Jack Nicholson']","['Musical', 'Comedy', 'Drama', 'Fantasy']"
One More Time,1970,"['Sammy Davis Jr.', 'Peter Lawford', 'Esther Anderson']",['Comedy']
The Only Game in Town,1970,"['Elizabeth Taylor', 'Warren Beatty', 'Hank Henry']","['Drama', 'Comedy', 'Romance']"
The Out-of-Towners,1970,"['Jack Lemmon', 'Sandy Dennis', 'Anne Meara']",['Comedy']
The Owl and the Pussycat,1970,"['Barbra Streisand', 'George Segal', 'Robert Klein']","['Comedy', 'Romance']"
Patton,1970,"['George C. Scott', 'Karl Malden', 'Michael Bates']","['Biography', 'War']"
The People Next Door,1970,"['Eli Wallach', 'Julie Harris', 'Deborah Winters']",['Drama']
The Phantom Tollbooth,1970,"['Butch Patrick', 'Mel Blanc', 'June Foray']","['Family', 'Live Action', 'Animated', 'Fantasy']"
The Phynx,1970,"['Joan Blondell', 'Ultra Violet', 'Martha Raye']",['Comedy']
Pieces of Dreams,1970,"['Robert Forster', 'Lauren Hutton', 'Will Geer']",['Drama']
Pigeons,1970,"['Jordan Christopher', ""Jill O'Hara"", 'Robert Walden']",['Comedy']
The Private Life of Sherlock Holmes,1970,"['Robert Stephens', 'Geneviève Page', 'Colin Blakely']",['Drama']
Promise at Dawn,1970,"['Melina Mercouri', 'Assi Dayan', 'Didier Haudepin']",['Drama']
Pufnstuf,1970,"['Jack Wild', 'Billie Hayes', 'Martha Raye']","['Musical', 'Comedy', 'Fantasy']"
"Pussycat, Pussycat, I Love You",1970,"['Ian McShane', 'Anna Calder-Marshall', 'John Gavin']",['Comedy']
Puzzle of a Downfall Child,1970,"['Faye Dunaway', 'Roy Scheider', 'Barry Primus']",['Drama']
R. P. M.,1970,"['Anthony Quinn', 'Ann-Margret', 'Gary Lockwood']",['Drama']
"Rabbit, Run",1970,"['James Caan', 'Carrie Snodgress', 'Anjanette Comer']","['Comedy', 'Drama', 'Independent']"
The Rebel Rousers,1970,"['Cameron Mitchell', 'Jack Nicholson', 'Diane Ladd']",['Independent']
The Revolutionary,1970,"['Jon Voight', 'Seymour Cassel', 'Robert Duvall']","['Drama', 'Political']"
Rio Lobo,1970,"['John Wayne', 'Jorge Rivero', ""Jennifer O'Neill""]","['Western', 'War']"
Ritual of Evil,1970,['Louis Jourdan'],"['Horror', 'Drama']"
Savage Intruder,1970,"['Miriam Hopkins', 'Gale Sondergaard', 'Florence Lake']","['Thriller', 'Horror']"
Skullduggery,1970,"['Burt Reynolds', 'Susan Clark', 'Paul Hubschmid']","['Drama', 'Adventure']"
Soldier Blue,1970,"['Candice Bergen', 'Peter Strauss', 'Donald Pleasence']",['Western']
Something for Everyone,1970,"['Angela Lansbury', 'Michael York', 'Anthony Higgins']",['Comedy']
Song of Norway,1970,"['Florence Henderson', 'Christina Schollin', 'Robert Morley']","['Musical', 'Drama', 'Biography']"
Start the Revolution Without Me,1970,"['Gene Wilder', 'Donald Sutherland', 'Hugh Griffith']","['Comedy', 'Historical']"
The Strawberry Statement,1970,"['Bruce Davison', 'Kim Darby', 'Bud Cort']",['Drama']
Street Scenes,1970,[],['Documentary']
Sunflower,1970,"['Marcello Mastroianni', 'Sophia Loren', 'Lyudmila Savelyeva']",['Drama']
Suppose They Gave a War and Nobody Came,1970,"['Brian Keith', 'Tony Curtis', 'Don Ameche']","['Comedy', 'Drama']"
"Tell Me That You Love Me, Junie Moon",1970,"['Liza Minnelli', 'Ken Howard', 'Kay Thompson']","['Comedy', 'Drama']"
There Was a Crooked Man...,1970,"['Kirk Douglas', 'Henry Fonda', 'Warren Oates', 'Burgess Meredith', 'Hume Cronyn', 'Martin Gabel']","['Western', 'Comedy']"
They Call Me MISTER Tibbs!,1970,"['Sidney Poitier', 'Martin Landau', 'Barbara McNair']","['Drama', 'Crime']"
...tick...tick...tick...,1970,"['Jim Brown', 'George Kennedy', 'Fredric March']","['Action', 'Crime', 'Drama']"
Tiger by the Tail,1970,"['Christopher George', 'Tippi Hedren', 'Dean Jagger']",['Drama']
